pais;nacionalidad
ABJASIA;
AFGANISTAN;AFGANA
AKROTIRI;
ALBANIA;ALBANA
ALEMANIA;ALEMANA
ANDORRA;ANDORRANA
ANGOLA;ANGOLEÑA
ANGUILA;
ANTARTIDA;
ANTIGUA Y BARBUDA;ANTIGUANA
ANTILLAS NEERLANDESAS;
ARABIA SAUDI;SAUDI
ARCTIC OCEAN;
ARGELIA;ARGELINA
ARGENTINA;ARGENTINA
ARMENIA;ARMENIA
ARUBA;
ASHMORE AND CARTIER ISLANDS;
ATLANTIC OCEAN;
AUSTRALIA;AUSTRALIANA
AUSTRIA;AUSTRIACA
AZERBAIYAN;AZERBAIYANA
BAHAMAS;BAHAMEÑA
BAHRAIN;
BANGLADESH;BANGLADESA
BARBADOS;BARBADENSE
BELGICA;BELGA
BELICE;BELICEÑA
BENIN;BENINES
BERMUDAS;
BIELORRUSIA;BIELORRUSA
BIRMANIA MYANMAR;BIRMANA
BOFUTATSUANA;BOFUTATSUANES
BOLIVIA;BOLIVIANA
BOSNIA Y HERZEGOVINA;BOSNIOHERZEGOVINA
BOTSUANA;BOTSUANA
BRASIL;BRASILEÑA
BRUNEI;BRUNEANA
BULGARIA;BULGARA
BURKINA FASO;BURKINES
BURUNDI;BURUNDES
BUTAN;BUTANES
CABO VERDE;CABOVERDIANA
CAMBOYA;CAMBOYANA
CAMERUN;CAMERUNES
CANADA;CANADIENSE
CHAD;CHADIANA
CHECOSLOVAQUIA;CHECOSLOVACA
CHILE;CHILENA
CHINA;CHINA
CHIPRE;CHIPRIOTA
CISKEI;CISKEINA
CLIPPERTON ISLAND;
COLOMBIA;COLOMBIANA
COMORAS;COMORENSE
CONGO;CONGOLEÑA
CORAL SEA ISLANDS;
COREA;COREANA
COREA DEL NORTE;NORCOREANA
COREA DEL SUR;SURCOREANA
COSTA DE MARFIL;MARFILEÑA
COSTA RICA;COSTARRICENSE
CROACIA;CROATA
CUBA;CUBANA
DHEKELIA;
DINAMARCA;DANESA
DOMINICA;DOMINIQUESA
ECUADOR;ECUATORIANA
EGIPTO;EGIPCIA
EL SALVADOR;SALVADOREÑA
EL VATICANO;VATICANA
EMIRATOS ARABES UNIDOS;EMIRATENSE
ERITREA;ERITREA
ESCOCIA;ESCOCESA
ESLOVAQUIA;ESLOVACA
ESLOVENIA;ESLOVENO
ESPAÑA;ESPAÑOLA
ESTADOS UNIDOS;ESTADOUNIDENSE
ESTONIA;ESTONIA
ETIOPIA;ETIOPE
FILIPINAS;FILIPINA
FINLANDIA;FINLANDES
FIYI;FIYIANO
FRANCIA;FRANCESA
GABON;GABONES
GAMBIA;GAMBIANA
GAZA STRIP;
GEORGIA;GEORGIANA
GHANA;GHANES
GIBRALTAR;
GRANADA;GRANADINA
GRECIA;GRIEGA
GROENLANDIA;
GUAM;
GUATEMALA;GUATEMALTECA
GUERNSEY;
GUINEA;GUINEANA
GUINEA-BISSAU;BISSAUGUINEANA
GUINEA ECUATORIAL;ECUATOGUINEANA
GUYANA;GUYANES
HAITI;HAITIANA
HONDURAS;HONDUREÑA
HONG KONG;HONG KONG
HUNGRIA;HUNGARA
INDIA;INDIA
INDIAN OCEAN;
INDONESIA;INDONESIA
IRAN;IRANI
IRAQ;IRAQUI
IRLANDA;IRLANDES
ISLA BOUVET;
ISLA CHRISTMAS;
ISLANDIA;ISLANDES
ISLA NORFOLK;
ISLAS CAIMAN;
ISLAS COCOS;
ISLAS COOK;
ISLAS FEROE;
ISLAS GEORGIA DEL SUR Y SANDWICH DEL SUR;
ISLAS HEARD Y MCDONALD;
ISLAS MALVINAS;
ISLAS MARIANAS DEL NORTE;
ISLAS MARSHALL;MARSHALES
ISLAS PITCAIRN;
ISLAS SALOMON;SALOMONENSE
ISLAS TURCAS Y CAICOS;
ISLAS VIRGENES AMERICANAS;
ISLAS VIRGENES BRITANICAS;
ISRAEL;ISRAELI
ITALIA;ITALIANA
JAMAICA;JAMAICANA
JAN MAYEN;
JAPON;JAPONESA
JERSEY;
JERUSALEM;PALESTINA
JORDANIA;JORDANA
KAZAJISTAN;KAZAKHSTANI
KENIA;KENIATA
KIRGUIZISTAN;KIRGUIS
KIRIBATI;KIRIBATIANA
KUWAIT;KUWAITI
LAOS;LAOSIANA
LESOTO;LESOTENSE
LETONIA;LETONIA
LIBANO;LIBANES
LIBERIA;LIBERIANA
LIBIA;LIBIA
LIECHTENSTEIN;LIECHTENSTEINIANA
LITUANIA;LITUANIA
LUXEMBURGO;LUXEMBURGUES
MACAO;
MACEDONIA;MACEDONIA
MADAGASCAR;MALGACHE
MALASIA;MALASIA
MALAUI;MALAUI
MALDIVAS;MALDIVA
MALI;MALIENSE
MALTA;MALTES
MAN, ISLE OF;
MARRUECOS;MARROQUI
MAURICIO;MAURICIANA
MAURITANIA;MAURITANA
MAYOTTE;
MEXICO;MEXICANA
MICRONESIA;MICRONESIA
MOLDAVIA;MOLDAVA
MONACO;MONEGASCA
MONGOLIA;MONGOL
MONTENEGRO;MONTENEGRINO
MONTSERRAT;
MOZAMBIQUE;MOZAMBIQUEÑA
MUNDO;
NAMIBIA;NAMIBIA
NAURU;NAURUANA
NAVASSA ISLAND;
NEPAL;NEPALI
NICARAGUA;NICARAGUENSE
NIGER;NIGERINA
NIGERIA;NIGERIANA
NIUE;
NO APLICA;NO APLICA
NO DEFINIDO;NO DEFINIDO
NORUEGA;NORUEGA
NUEVA CALEDONIA;
NUEVA ZELANDA;NEOZELANDES
OMAN;OMANI
PACIFIC OCEAN;
PAISES BAJOS;
PAISES BAJOS (HOLANDA);HOLANDES
PAKISTAN;PAQUISTANI
PALAOS;PALAUNA
PALESTINA;PALESTINA
PANAMA;PANAMEÑA
PAPUA NUEVA GUINEA;PAPU NEOGUINEANA
PAPUA-NUEVA GUINEA;
PARACEL ISLANDS;
PARAGUAY;PARAGUAYA
PERU;PERUANA
POLINESIA FRANCESA;
POLONIA;POLACA
PORTUGAL;PORTUGUES
PUERTO RICO;PUERTORRIQUENO
QATAR;QATARI
REINO UNIDO;BRITANICA
REINO UNIDO (ESCOCIA);BRITANICA/ESCOCESA
REINO UNIDO (GALES);BRITANICA/GALES
REINO UNIDO (INGLATERRA);BRITANICA/INGLESA
REINO UNIDO (IRLANDA DEL NORTE);BRITANICA/NORIRLANDES
REPUBLICA CENTROAFRICANA;CENTROAFRICANA
REPUBLICA CHECA;CHECA
REPUBLICA DEMOCRATICA DEL CONGO;
REPUBLICA DOMINICANA;DOMINICANA
REPUPLICA ARABE DEL YEMEN;YEMENI ARABE
RUANDA;RUANDESA
RUMANIA;RUMANA
RUSIA;RUSA
SAHARA OCCIDENTAL;
SAMOA;SAMOANA
SAMOA AMERICANA;
SAN CRISTOBAL Y NIEVES;SANCRISTOBALEÑA
SAN MARINO;SANMARINENSE
SAN PEDRO Y MIQUELON;
SANTA HELENA;
SANTA LUCIA;SANTALUCENSE
SANTO TOME Y PRINCIPE;SANTOTOMENSE
SAN VICENTE Y LAS GRANADINAS;SANVICENTINA
SENEGAL;SENEGALESA
SERBIA;SERBIA
SEYCHELLES;SEYCHELLENSE
SIERRA LEONA;SIERRALEONES
SINGAPUR;SINGAPURENSE
SIRIA;SIRIA
SOMALIA;SOMALI
SOUTHERN OCEAN;
SPRATLY ISLANDS;
SRI LANKA;ESRILANQUESA
SUAZILANDIA;SUAZI
SUDAFRICA;SUDAFRICANA
SUDAN;SUDANES
SUECIA;SUECA
SUIZA;SUIZA
SURINAM;SURINAMES
SVALBARD Y JAN MAYEN;
TAILANDIA;TAILANDES
TAIWAN;TAIWANESA
TANZANIA;TANZANA
TAYIKISTAN;TAYIKA
TERRITORIO BRITANICO DEL OCEANO INDICO;
TERRITORIOS AUSTRALES FRANCESES;
TIMOR ORIENTAL;
TOGO;TOGOLESA
TOKELAU;
TONGA;TONGANA
TRANSKEI;TRANSKEINA
TRINIDAD Y TOBAGO;TRINITENSE
TUNEZ;TUNECINA
TURKMENISTAN;TURCOMANA
TURQUIA;TURCA
TUVALU;TUVALUANA
UCRANIA;UCRANIANA
UGANDA;UGANDES
UNION EUROPEA;
URUGUAY;URUGUAYA
UZBEKISTAN;UZBEKA
VANUATU;VUNUATENSE
VENEZUELA;VENEZOLANA
VIETNAM;VIETNAMITA
WAKE ISLAND;
WALLIS Y FUTUNA;
WEST BANK;
YEMEN;YEMENI
YIBUTI;YIBUTIANA
YUGOSLAVIA;YUGOSLAVA
ZAIRE;ZAIRENO
ZAMBIA;ZAMBIANA
ZIMBABUE;ZIMBABUENSE